added_at,track_name,artists,album,track_id,spotify_url
2020-10-02T05:00:46Z,Timeless Interlude,Bryson Tiller,A N N I V E R S A R Y,6Iw6fQVKZi0fWtEQBrTFcP,https://open.spotify.com/track/6Iw6fQVKZi0fWtEQBrTFcP
2020-10-02T04:58:46Z,Things Change,Bryson Tiller,A N N I V E R S A R Y,0LLsvPLHxlUk1x8r77H2b6,https://open.spotify.com/track/0LLsvPLHxlUk1x8r77H2b6
2020-10-02T04:56:22Z,I'm Ready For You,Bryson Tiller,A N N I V E R S A R Y,1zmv0tPVWdbCuvBw90MYwO,https://open.spotify.com/track/1zmv0tPVWdbCuvBw90MYwO
2020-10-02T04:52:29Z,Always Forever,Bryson Tiller,A N N I V E R S A R Y,1LV5cAo02H8h5YlZNcjULM,https://open.spotify.com/track/1LV5cAo02H8h5YlZNcjULM
2020-10-02T04:36:53Z,Last Time (feat. Snoh Aalegra),"GIVĒON, Snoh Aalegra",When It's All Said And Done,2UcZEi2BIfz4wz2fxr6K3a,https://open.spotify.com/track/2UcZEi2BIfz4wz2fxr6K3a
2020-10-02T04:36:52Z,Stuck On You,GIVĒON,When It's All Said And Done,53Nwlr3hxsGsu9eWU5EYjq,https://open.spotify.com/track/53Nwlr3hxsGsu9eWU5EYjq
2020-10-02T04:32:42Z,When It's All Said And Done,GIVĒON,When It's All Said And Done,1ZzRQer7fYeLYfgZuKVbkx,https://open.spotify.com/track/1ZzRQer7fYeLYfgZuKVbkx
2020-10-02T04:30:51Z,Still Your Best,GIVĒON,When It's All Said And Done,2qvWsotNWTvRkwCksOnl92,https://open.spotify.com/track/2qvWsotNWTvRkwCksOnl92
2020-10-02T04:28:05Z,Years Go By,Bryson Tiller,A N N I V E R S A R Y,4SVTus5gJc5cfkFZ8ELK1p,https://open.spotify.com/track/4SVTus5gJc5cfkFZ8ELK1p
2020-10-02T04:22:35Z,Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",SAVAGE MODE II,3ruoIF2UnoXdzK8mR61ebq,https://open.spotify.com/track/3ruoIF2UnoXdzK8mR61ebq
2020-10-01T15:06:27Z,If This Is Love,Xavier Omär,The Everlasting Wave,2v9TxPdblHMBRir1y9uIqw,https://open.spotify.com/track/2v9TxPdblHMBRir1y9uIqw
2020-10-01T15:06:26Z,Just Get Here (feat. Wale & VanJess),"Xavier Omär, Sango, Wale, VanJess",Moments Spent Loving You,5cHdOuER9BztlOcbUNBmrQ,https://open.spotify.com/track/5cHdOuER9BztlOcbUNBmrQ
2020-10-01T15:02:46Z,So Much More,Xavier Omär,So Much More,0Dkw16OnTI7oCjltgQz4in,https://open.spotify.com/track/0Dkw16OnTI7oCjltgQz4in
2020-10-01T15:02:45Z,Afraid,Xavier Omär,Afraid,2zIkPM6r0yEjWt18qG3jP3,https://open.spotify.com/track/2zIkPM6r0yEjWt18qG3jP3
2020-10-01T15:02:44Z,Blind Man,Xavier Omär,Blind Man,0DQQRJ4sR3pxwom9L7D7QR,https://open.spotify.com/track/0DQQRJ4sR3pxwom9L7D7QR
2020-09-26T00:04:24Z,Had a Feeling,Chavo,Had a Feeling,5StLywKO2fUIzbn0Xwackq,https://open.spotify.com/track/5StLywKO2fUIzbn0Xwackq
2020-09-25T05:59:46Z,Epidemic,Polo G,Epidemic,170DNUSnQRp1tGpppF26pA,https://open.spotify.com/track/170DNUSnQRp1tGpppF26pA
2020-09-25T05:56:48Z,FRANCHISE (feat. Young Thug & M.I.A.),"Travis Scott, Young Thug, M.I.A.",FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
2020-09-18T22:30:00Z,Mutual Butterflies,Ryan Trey,august,531MBHrtGF6nAkK4zUafi9,https://open.spotify.com/track/531MBHrtGF6nAkK4zUafi9
2020-09-18T22:27:44Z,THE NEWS,PARTYNEXTDOOR,PARTYMOBILE,46Mk1NVIpCcRIAXY92mWAW,https://open.spotify.com/track/46Mk1NVIpCcRIAXY92mWAW
2020-09-18T05:47:47Z,Dead Man Walking,Brent Faiyaz,Dead Man Walking,5VlTQnZO89Ioku8ssdbqJk,https://open.spotify.com/track/5VlTQnZO89Ioku8ssdbqJk
2020-09-18T05:27:03Z,Dolly (with Lil Uzi Vert),"Lil Tecca, Lil Uzi Vert",Virgo World,77Xwqkw7VrV8E5FCq9JhO8,https://open.spotify.com/track/77Xwqkw7VrV8E5FCq9JhO8
2020-09-17T04:04:00Z,Wyclef Jean,Young Thug,JEFFERY,55OdqrG8WLmsYyY1jijD9b,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b
2020-09-16T20:20:00Z,"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)","A$AP Mob, A$AP Rocky, Tyler, The Creator, Playboi Carti, Yung Gleesh",Cozy Tapes: Vol. 1 Friends -,5VnpYqIzm02X9gOhVElQo3,https://open.spotify.com/track/5VnpYqIzm02X9gOhVElQo3
2020-09-16T18:01:50Z,Canal St. (feat. Bones),"A$AP Rocky, BONES",AT.LONG.LAST.A$AP,0rBMP6VVGRgwnzZCLpijyl,https://open.spotify.com/track/0rBMP6VVGRgwnzZCLpijyl
2020-09-16T17:59:19Z,PICK IT UP (feat. A$AP Rocky),"Famous Dex, A$AP Rocky",Pick It Up (feat. A$AP Rocky),3ncgNpxLoBQ65ABk4djDyd,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
2020-09-15T05:21:42Z,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator, Rex Orange County, Anna of the North",Flower Boy,5WNYg3usc6H8N3MBEp4zVk,https://open.spotify.com/track/5WNYg3usc6H8N3MBEp4zVk
2020-09-15T05:15:08Z,Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator, A$AP Rocky",Flower Boy,21yRtB6B8EMounImAfHRCP,https://open.spotify.com/track/21yRtB6B8EMounImAfHRCP
2020-09-15T05:07:39Z,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),"Tyler, The Creator, Frank Ocean, Steve Lacy",Flower Boy,4bEcoz1OcfMgUbp2ft8ieQ,https://open.spotify.com/track/4bEcoz1OcfMgUbp2ft8ieQ
2020-09-15T05:03:17Z,She,"Tyler, The Creator, Frank Ocean",Goblin,4y4KG66qCAN2TTevOAEjHy,https://open.spotify.com/track/4y4KG66qCAN2TTevOAEjHy
2020-09-15T04:47:31Z,Potato Salad,"Tyler, The Creator, A$AP Rocky",Potato Salad,1jzIJcHCXneHw7ojC6LXiF,https://open.spotify.com/track/1jzIJcHCXneHw7ojC6LXiF
